,contentId,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-5002383425685129595,-5002383425685129595,Google acquires deep search engine Kifi to enhance its Spaces group chat app,Honda: mulheres já respondem por 50% das vendas via consórcio,Carros conectados impulsionarão diferentes indústrias | Sonho Seguro,Buscas on-line por carros têm expansão de 43% no 1º trimestre,Apple and Google Are Teaming Up to Kill Robocalls Forever
-4996336942690402156,-4996336942690402156,Client-side ranking to more efficiently show people stories in feed,O manual do deboísta corporativo,Mimo baby monitor helps parents get more sleep,Seniority,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet"
-4977928818612291634,-4977928818612291634,Machine learning at the museum: this week on Google Cloud Platform,"Feeding 10 billion people with cloud computing: Land O'Lakes, Inc. moves to Google Cloud Platform",Enterprise developers look out: this week on Google Cloud Platform,Cloud Storage Goes Mainstream: Storj Launches Beta Joining Azure BaaS,Introducing Google Container Engine (GKE) node pools
-4975645025178552956,-4975645025178552956,You won't recognize the new world of digital payments without this report,Nubank pode fechar as portas se BC confirmar mudança amanhã,"Simple rolls out shared bank accounts that work for anyone, including roommates",Bitcoin In The Time Of Negative Interest Rates,"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit"
-4974757204495953627,-4974757204495953627,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",How Green Was My Valley (1941),Joel on Software,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog"
-4948201003470936673,-4948201003470936673,Sony Smart Tennis Sensor for Tennis Rackets,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,[Videos] This fake TED Talk about nothing might be the best you've ever seen
-4944551138301474550,-4944551138301474550,Graph-powered Machine Learning at Google,Services | RaRe Technologies,Machine Learning Is No Longer Just for Experts,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",AI Is Here to Help You Write Emails People Will Actually Read
-4925213312961842798,-4925213312961842798,"Elopar lança o ""Digio"", cartão para brigar com Nubank","Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit",Nubank pode fechar as portas se BC confirmar mudança amanhã,Bitcoin In The Time Of Negative Interest Rates,The cynical bankers' trick: show me the money - Chris Skinner's blog
-4921088466135297415,-4921088466135297415,It's Time to Unlearn Everything You Know About Java Exceptions | Takipi Blog,"The code that took America to the moon was just published to GitHub, and it's like a 1960s time capsule",Revista PROGRAMAR nº 53 - Agosto de 2016,Spring DAO vs Spring ORM vs Spring JDBC,Nashorn: JavaScript made great in Java 8
-4893195573827770029,-4893195573827770029,Digital Consumers Forced to Open Accounts in Branches,American Express ... and the Book of Mormon - Chris Skinner's blog,Where is the bank's digital vision? - Chris Skinner's blog,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Bitcoin In The Time Of Negative Interest Rates
-4888170580455425266,-4888170580455425266,Automation and anxiety,The Internet of Things is looking for its VisiCalc,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Nintendo has doubled in value since Pokémon Go's release,"How to build a robot that ""sees"" with $100 and TensorFlow"
-4875060556471576861,-4875060556471576861,Windows Subsystem for Linux Overview,"GitHub broke my 1,000 day streak - Free Code Camp",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Million Song Dataset | scaling MIR research,4 Blockchain Macro Trends: Where to Place Your Bets
-4872447160271266802,-4872447160271266802,"No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia",Cartórios Não Podem Recusar Registro De Filhos De Casais Homoafetivos,Estudante de Direito dá lição em colegas após virar piada entre eles,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Sul dos EUA descobre consequências econômicas da homofobia | EXAME.com
-4844663695104994694,-4844663695104994694,Twitter adds a button to help you train its algorithm,8 things to expect from Google's biggest event of the year,These gloves can convert sign language into spoken English,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Behold.ai launches artificially intelligent medical software to find abnormalities faster
-4833307637594287163,-4833307637594287163,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,Dinheiro pode sair de circulação na Suécia até 2030,"TI continua despreparada para os negócios digitais, afirma Gartner - CIO",Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,This is the scientific reason we're addicted to our phones
-4831310174172854034,-4831310174172854034,How Kotlin became our primary language for Android - UPTech Team,Introduction to Spring REST Docs | Baeldung,"Kotlin in Production - What works, Whats broken",Taking Microservices Home - NGINX,Spring Boot 1.4 released
-4798431998955209742,-4798431998955209742,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption",You don't talk about refactoring club,Apple is working on an AI system that wipes the floor with Google and everyone else,Alecrim/AlecrimCoreData,Tech in Brazil is booming despite the country's political troubles
-4770861947600256785,-4770861947600256785,Skully officially admits it's over,Twitter adds a button to help you train its algorithm,These gloves can convert sign language into spoken English,A step-by-step guide to agile growth experiments,8 things to expect from Google's biggest event of the year
-4767439283620384185,-4767439283620384185,"9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices",Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,GE integra inteligência artificial Alexa em uma lâmpada circular,Assessing Salesforce's platform and ecosystem | ZDNet,IBM Watson e a revolução pela inteligência artificial | Udacity
-4765711818183276269,-4765711818183276269,Deep learning software knows that a rose is a rose is a rosa rubiginosa,New Sessions Added To Google I/O 2016 Schedule,Event Map For Google I/O 2016 Released,"Apple acquires Turi, a machine learning company","Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities"
-4754223659064624252,-4754223659064624252,The Business Case for Progressive Web Apps,You don't talk about refactoring club,I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,Prototypal Object-Oriented Programming using JavaScript,World's Fastest Growing Open Source Platform Pushes Out New Release
-4740532350684079805,-4740532350684079805,Google Is Finally Redesigning Its Biggest Cash Cow: AdWords,CoreOS's rkt Container Engine Hits 1.0,Announcing pricing for Google Stackdriver,"Waterwheel, the Drupal SDK Ecosystem",Google Cloud Datastore gets faster cross-platform API
-4709710373442563586,-4709710373442563586,How to finish 3D printed PLA objects,Intel buys computer vision startup Itseez to improve navigation in self-driving cars,The Internet of Things,Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão,Internet of Things Drives Outcome-Based Business Models
-4707863452603278075,-4707863452603278075,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",Scrum Community - Scrum Alliance,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,Saying �� to Allo and Duo: new apps for smart messaging and video calling,Brazilian Government and Ericsson to innovate together for Internet of Things
-4700714777342103147,-4700714777342103147,Blockchain Will Be Used By 15% of Big Banks By 2017,"Bancos brasileiros aplicaram R$ 19,2 bilhões em esforços de TI em 2015",Mobile banking conquista o coração dos brasileiros,CMN regulamenta abertura de conta de depósito por meio eletrônico,Nubank começa a testar seu programa de fidelidade - Empresas Tech
-4698104907897418459,-4698104907897418459,WeChat's competitor to Slack has arrived,"There will be a Drupal 9, and here is why",AWS Certified Solutions Architect Professional – Study Guide – Domain 3.0: Deployment Management (10%),Dries Buytaert: Advancing Drupal's web services,Artificial intelligence is hard to see
-4673604375671208816,-4673604375671208816,[Framework] Lean IT Governance,Onde a tecnologia e o cuidado se encontram? - Saúde Business,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",[Tools] XMind Plus - Last Chance for students' 1$ gift,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio
-4673235524420943843,-4673235524420943843,Addressing Accessibility for the Web,OpenAI technical goals,rasbt/python-machine-learning-book,To Be Continued: Helping you find shows you want to continue watching,Automate deployments and traffic splitting with the App Engine Admin API
-4668565519400205181,-4668565519400205181,Release Day: Extend Drupal 8 with Plugins,Improving Drupal 8's API-first: JSON API and OAuth2?,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery","Thunder, a Drupal distribution for publishers","Handling context in ""outside-in"""
-4655195825208522542,-4655195825208522542,Facebook libera botão que integra rede social a sites de e-commerce,Open Source Giant Red Hat Launches First Blockchain Initiative - CoinDesk,Solidity Available in Visual Studio - Ethereum Blog,It's Time to Unlearn Everything You Know About Java Exceptions | Takipi Blog,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog
-4625438649010928449,-4625438649010928449,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,NoSQL Performance Benchmarks,Where accountability really matters,Gartner Reprint,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship
-4615179238096674750,-4615179238096674750,Visa lança desafio para startups de tecnologia - Startupi,Nubank e Goldman fecham parceria de R$ 200 milhões,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,E os vencedores do Latam Founders Awards 2016 são... - Startupi
-4613284400780388067,-4613284400780388067,Git Large File Storage (Git LFS) now in Bitbucket Cloud - Bitbucket,Google Now Posting Full OTA Images For Nexus Devices Alongside Factory Images,Firefox edges out Microsoft globally for first time in browser wars | StatCounter Global Stats,Save time with Quick Access in Drive,Login sem senha no Android deve chegar até o final de 2016 | Google Discovery
-4612605965384710183,-4612605965384710183,My Approach to Mobile Accessibility Testing - Ministry of Testing,5 Asian Trends for 2017,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",A tougher Turing Test shows that computers still have virtually no common sense,Top 5 Android Testing Frameworks with Examples
-4608017393995766765,-4608017393995766765,3M e o perfil intraempreendedor | Endeavor Brasil,6 New Tech Gadgets That Will Simplify Your Life in 2017,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Kickstarter 3D printer will print circuit boards as part of your designs,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi
-4600611344822394376,-4600611344822394376,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters",Introducing Sign in with Slack - Slack Platform Blog,How This Googler Redesigned The Workweek,Twitter adds a button to help you train its algorithm,8 things to expect from Google's biggest event of the year
-4582216289807398227,-4582216289807398227,[GTD] Forget About Setting Goals. Focus on This Instead.,[Event] Palestra Competitive Strategy and Competition,The emerging Darwinian approach to analytics and augmented intelligence,Generative Models,Exclusive: Why Microsoft is betting its future on AI
-4571929941432664145,-4571929941432664145,Tensorflow wins,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Graph-powered Machine Learning at Google,New Sessions Added To Google I/O 2016 Schedule,Exclusive: Why Microsoft is betting its future on AI
-4562218760600603086,-4562218760600603086,Comment: IBM's Apple deployment stats should be a lesson to enterprise companies everywhere,Java 8 Best Practices Cheat Sheet,Notes on Reactive Programming Part I: The Reactive Landscape,Google lança Cloud Functions,Docker Engine 1.11 with runC: Announcing the general availability of the industry's first OCI-compliant runtime
-4561077506184283336,-4561077506184283336,Taco Bell chega ao Brasil no segundo semestre desse ano,Operator fuses bots with humans to build cyborg shopping experts,Time Pressure: Behavioral Science Considerations for Mobile Marketing,Startup uses deep learning to let you shop for items by snapping photos,Infographic Dutch Fintech Scene - HollandFintech.com
-4550355627706401135,-4550355627706401135,Sesi oferece curso de LIBRAS com certificação de 40 horas,"Android N Developer Preview 2, out today! | Android Developers Blog","ConstraintLayout, Inside and Out: Part 2",Android Quickstart - Firebase,Governo busca empresas para aprimorar Internet das Coisas no Brasil
-4541461982704074404,-4541461982704074404,What SWAG will Google I/O 2016 attendees take home?,The emerging Darwinian approach to analytics and augmented intelligence,New Sessions Added To Google I/O 2016 Schedule,Generative Models,Graph-powered Machine Learning at Google
-4524355549457527387,-4524355549457527387,Chat Smarter with Allo,'Training for Google Apps' Is One Of Chrome's Best Kept Secrets - OMG! Chrome!,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog","Every shot Kobe Bryant ever took. All 30,699 of them",Docker inside docker and overview about Jenkins 2
-4509487968959834430,-4509487968959834430,Investimentos em coaching e mentoring aumentam nas empresas,O que você deve fazer para se tornar um líder melhor?,Qual é o valor da área de T&D na sua empresa?,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,What Millennials Want from a New Job
-4507929853521434970,-4507929853521434970,Lista tem 15 dicas para Google Docs; teste,"Ultrapar, por meio da Ipiranga, assina compra da Ale por R$ 2,17 bilhões","Conheça o GoBox, marketplace do Grupo Abril - VEJA.com",Você sabe mesmo?,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga
-4503975842879662368,-4503975842879662368,How Coca-Cola Is Harvesting Innovation Energy From Startups,Top 30 Commonly Confused Words in English,Portugal runs for four days straight on renewable energy alone,"DevOps security requires new mindset and tools for visibility, automation",Stop saying learning to code is easy.
-4487024160266973763,-4487024160266973763,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Digital Leadership Is Not an Optional Part of Being a CEO,Mobile Time,IBM makes a big shift into cognitive computing,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle
-4483059513836093676,-4483059513836093676,8 things to expect from Google's biggest event of the year,Google's official Project Wing logo revealed,Twitter adds a button to help you train its algorithm,These gloves can convert sign language into spoken English,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing"
-4475938295812802739,-4475938295812802739,Practical End-to-End Testing with Protractor,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Game of Loans,"How Reporters Pulled Off the Panama Papers, the Biggest Leak in Whistleblower History",A nova marca da HP foi criada (e rejeitada) 5 anos atrás
-4463029741564307314,-4463029741564307314,Meet Aquifer: A build system for easier Drupal development,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Dries Buytaert,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,State of Drupal 2016 survey | Dries Buytaert
-4460374799273064357,-4460374799273064357,How to choose algorithms for Microsoft Azure Machine Learning,"At eBay, Machine Learning is Driving Innovative New Approaches to Search Experiences",Auto-scaling scikit-learn with Spark,Worldwide Ops in Minutes with DataStax & Cloud,To Be Continued: Helping you find shows you want to continue watching
-4458371007893120981,-4458371007893120981,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),AWS Certified Solutions Architect Professional – Study Guide – Domain 8.0: Cloud Migration and Hybrid Architecture (10%)
-4434534460030275781,-4434534460030275781,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Japanese for dummies,Como são escrita as risadas em japonês? - Suki Desu,How to Improve 8 Major Problem Areas for Japanese Learners of All Levels,Learn Hiragana: The Ultimate Guide
-4414039190127558142,-4414039190127558142,Now we know how profitable Microsoft's cloud business is -and investors should be happy,Can Accenture Take Over Advertising?,How AWS came to be,GE Digital snags ServiceMax for $915 million,Five things to include in your digital transformation playbook
-4386371945374980231,-4386371945374980231,O início problemático dos chatbots no Facebook Messenger,Marketplace,Why Walmart wants to buy Jet.com and what you need to know about the potential deal,Adopting Open Source Development Processes in Corporate IT,Portal Mercado & Consumo
-4374331682165863764,-4374331682165863764,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",8 things to expect from Google's biggest event of the year,Touch (TV Series 2012-2013),Twitter adds a button to help you train its algorithm,Corporate Intrapreneur Summit
-4358357193736101128,-4358357193736101128,"Inatel lança seu Smart Campus, um laboratório vivo para demonstração de projetos na área de IoT - Startupi",Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Webinar: A Internet das Coisas no Brasil,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi
-4338308747999225618,-4338308747999225618,New Sessions Added To Google I/O 2016 Schedule,Event Map For Google I/O 2016 Released,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Here's what Viv looks like, the next generation AI assistant built by Siri creator",What SWAG will Google I/O 2016 attendees take home?
-4336877432539963613,-4336877432539963613,11 Internet of Things (IoT) Protocols You Need to Know About,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,"Android N Developer Preview 2, out today! | Android Developers Blog",Sesi oferece curso de LIBRAS com certificação de 40 horas,Curso mbed na KL25Z - Primeiros passos - Embarcados
-4336355219396419841,-4336355219396419841,Ordering coffee in Italy: the 10 commandments,How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts","The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Joel on Software
-4333957157636611418,-4333957157636611418,Android Studio 2.0 | Android Developers Blog,On DRY and the cost of wrongful abstractions,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",The Ten Commandments of Egoless Programming,"3 Industries That Will Be Transformed By AI, Machine Learning And Big Data In The Next Decade"
-4333056764244640444,-4333056764244640444,The Great Library,Don Tapscott: How the blockchain is changing money and business,Decentralizing IoT networks through blockchain,"Automatic lays off 28% of its workforce, aims for profitability in 2017",Peças Translúcidas
-4320251915347436672,-4320251915347436672,"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",The future of the shopping mall,Globant acquires WAE to continue advancing in the creation of digital journeys,Inception (2010),"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com"
-4318248821095057296,-4318248821095057296,Why It's Time to Take Google's PC Operating System Seriously,"Google and Levi's team up on a ""connected"" jacket that lets you answer calls, use maps, and more",Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar,"9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices",Ouça a música criada pela inteligência artificial do Google | Google Discovery
-4303046765246718776,-4303046765246718776,Using Honcho to Create a Multi-Process Docker Container,Up your DevOps chops with this online Kubernetes class,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,"Docker - Build, Ship, and Run Any App, Anywhere",Docker Cleanup Scripts Comparison
-4295420427690447901,-4295420427690447901,Kubernetes,How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software
-4293262855938209141,-4293262855938209141,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,8 things to expect from Google's biggest event of the year,Grow fast or die slow: Focusing on customer success to drive growth,These gloves can convert sign language into spoken English,Twitter adds a button to help you train its algorithm
-4280604324733069853,-4280604324733069853,Google Now on Tap estreia no Brasil | Google Discovery,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Vídeos de testes unitários em sistemas embarcados - Embarcados,"Simple rolls out shared bank accounts that work for anyone, including roommates",Criador do Ubuntu diz que o sistema soluciona o problema de segurança na Internet das Coisas
-4278025512576376201,-4278025512576376201,Google employees are adding 'Lady' to their job titles to fight sexism,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Savage Love Letter of the Day: Get Out There and Fight,Workplace diversity in Brazil: there's still a long way to go,O dia em que tive mais medo de estar errada.
-4262964715347041233,-4262964715347041233,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Recently confirmed Myspace hack could be the largest yet,8 things to expect from Google's biggest event of the year,Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar
-4239579488204604851,-4239579488204604851,"Waterwheel, the Drupal SDK Ecosystem",Dries Buytaert,"Thunder, a Drupal distribution for publishers","Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",A simple approach to PCI DSS compliance for Google Cloud Platform
-4233809085822159066,-4233809085822159066,Dries Buytaert,"Waterwheel, the Drupal SDK Ecosystem","Thunder, a Drupal distribution for publishers","Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic
-4233177915193302509,-4233177915193302509,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Two Different Sales Motions . . . .,Grow fast or die slow: Focusing on customer success to drive growth,These gloves can convert sign language into spoken English,GE Digital snags ServiceMax for $915 million
-4228415104574264137,-4228415104574264137,Optimizing the Performance of Vector Drawables - upday devs,Firebase Test Lab for Android,Post: Just Say mNo to Hungarian Notation,Getting Started with Activity & Fragment Transitions (part 1),Como o Facebook testa o impacto que a atualização dos apps têm na bateria dos smartphones
-4216050818952952471,-4216050818952952471,Apple and Google Are Teaming Up to Kill Robocalls Forever,"How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog",Carros conectados impulsionarão diferentes indústrias | Sonho Seguro,Honda: mulheres já respondem por 50% das vendas via consórcio,The economic essentials of digital strategy
-4205346868684833897,-4205346868684833897,Introducing the Startup Battlefield companies of Disrupt NY 2016,"Google acquires Synergyse, an interactive training service for Google Apps",The AI business landscape,DeepMind moves to TensorFlow,8 things to expect from Google's biggest event of the year
-4195851681734441295,-4195851681734441295,Home-Made Twitter and Gmail Notifications with PHP and Arduino,OpenVpn rodando com Docker no Raspberry Pi,Custo do Erro - Cinco motivos para investir em automação de testes,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,"Sony Playstation 3 Fat 160gb - R$ 720,00"
-4158297476631283435,-4158297476631283435,Onde está o duplo diamante do DT em projetos ágeis,[Event] Palestra Competitive Strategy and Competition,[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera,[GTD] Forget About Setting Goals. Focus on This Instead.,[eBook] Enxugando a máquina - Paulo Caroli
-4145260601063545880,-4145260601063545880,My experience with Google's Associate Android Developer Certification,What DeepMind brings to Alphabet,Cognitive Services-Intelligence Applications | Microsoft Azure,Microsoft's new online certification program kicks off with data science specialization | ZDNet,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership
-4138575697540914268,-4138575697540914268,Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks,Five priorities for competing in an era of digital globalization,"Google Save, serviço para salvar coisas da web, chega ao Brasil | Google Discovery",Physicists have discovered what makes neural networks so extraordinarily powerful,The White House Has Realized Artificial Intelligence Is Very Important
-4133169317019898816,-4133169317019898816,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Qual é o valor da área de T&D na sua empresa?,4 Reasons Managers Should Spend More Time on Coaching,Investimentos em coaching e mentoring aumentam nas empresas,What Millennials Want from a New Job
-4132331404553626868,-4132331404553626868,NoSQL Performance Benchmarks,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Gartner Reprint,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs
-4130193294870737688,-4130193294870737688,Practical End-to-End Testing with Protractor,A nova marca da HP foi criada (e rejeitada) 5 anos atrás,"Trabalhando com dinheiro no Java, uma visão pragmática da nova money-api",10 Free Screen Readers For Blind Or Visually Impaired Users - Usability Geek,WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents
-4127059794203205931,-4127059794203205931,Machine Learning Is No Longer Just for Experts,Algorithms and architecture for job recommendations,Services | RaRe Technologies,Worldwide Ops in Minutes with DataStax & Cloud,How to choose algorithms for Microsoft Azure Machine Learning
-4126288159365354498,-4126288159365354498,Globant acquires WAE to continue advancing in the creation of digital journeys,How AWS came to be,Don't Waste Your Time on Networking Events,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,PCI Compliance & Drupal Commerce: Which Payment Gateway Should I Choose?
-4110991218639855802,-4110991218639855802,Threaded messaging is coming to Slack,Revolutionize business communication with Kast,DeepMind moves to TensorFlow,The AI business landscape,"Apple acquires Turi, a machine learning company"
-4102297002729307038,-4102297002729307038,Dries Buytaert,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,State of Drupal 2016 survey | Dries Buytaert,Meet Aquifer: A build system for easier Drupal development
-4095842175692097942,-4095842175692097942,Google Now on Tap estreia no Brasil | Google Discovery,Google connects BigQuery to Google Drive and Sheets,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",Transfer Style But Not Color,YouTube's New Messenger Means You'll Never Have to Leave YouTube
-4089455027188314262,-4089455027188314262,"Stock photos of women of color in tech, now free to use.",The Joel Test: 12 Steps to Better Code,Kubernetes 1.3 on tap for Google Container Engine,Assista a entrevista de Linus Torvalds no TED legendada,Firebase and Google Cloud: better together
-4084394822880420062,-4084394822880420062,"A whole new GitHub Universe: announcing new tools, forums, and features",How a Japanese cucumber farmer is using deep learning and TensorFlow | Google Cloud Big Data and Machine Learning Blog | Google Cloud Platform,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,Ethereum Used for 'First' Paid Energy Trade Using Blockchain Tech - CoinDesk,Elastic Stack 5.0.0 Released
-4070929606295451361,-4070929606295451361,Democratizing AI,O Empreendedorismo no Mercado de Seguros,VISA to Test Blockchain Payments among Banks; a SWIFT Rival?,The new tech talent you need to succeed in digital,"The new, scary face of auto insurance"
-4070599188332885701,-4070599188332885701,Communication patterns in a Microservice world,Cracking the Job Interview with TensorFlow,Bring Your App To Life with CALayers,System Code Geeks are giving away a FREE Sublime Text Editor License,Snapchat shares security best practices for running on GCP
-4050006690189978332,-4050006690189978332,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur,The emerging Darwinian approach to analytics and augmented intelligence,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard",Generative Models,Google believes its superior AI will be the key to its future
-4049108709890217048,-4049108709890217048,Saying �� to Allo and Duo: new apps for smart messaging and video calling,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,Brazilian Government and Ericsson to innovate together for Internet of Things,"Google anuncia MODE, pulseiras com tecnologia snap-and-swap para Android Wear | Google Discovery"
-4037032837327175755,-4037032837327175755,Five things to include in your digital transformation playbook,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Artificial intelligence produces realistic sounds that fool humans,America's allies are preparing for a bumpy ride,8 Best Machine Learning Cheat Sheets
-4029704725707465084,-4029704725707465084,4 Reasons Managers Should Spend More Time on Coaching,Qual é o valor da área de T&D na sua empresa?,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins",Optimizing the Performance of Vector Drawables - upday devs
-4027027091658759481,-4027027091658759481,Acesse a versão Material Design do YouTube | Google Discovery,Infrequently Noted,WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",The Progress of Web Apps - On the Edge
